会社名,住所,電話番号
◯隆兵そば,京都府京都市西京区桂浅原町157,075-393-7130
ほっともっと 桂樫原店,京都府京都市西京区樫原佃18,075-382-3555
モスバーガー桂物集女店,京都府京都市西京区 樫原佃18,075-382-1231
まいどおおきに食堂 京西京食堂,京都府京都市西京区 桂西滝川町58,075-382-0217
ピッコロモンド・ヤマダ,京都府京都市西京区 桂巽町4,075-381-3666
カポナータ,京都府京都市西京区 桂西滝川町63,075-394-2280
珈琲待夢アマンド,京都府京都市西京区 桂野里町16,075-391-3813
団ぷ鈴,京都府京都市西京区 嵐山宮町3,075-861-0078
渡月亭別館 松風閣,京都府京都市右京区 嵯峨中之島町,075-871-1310
ステーキガスト 京都桂店,京都府京都市西京区 桂池尻町137,075-381-2741
花筏,京都府京都市西京区嵐山中尾下町57,075-861-0228
京料理 鳥米,京都府京都市西京区嵐山朝月町66,075-872-7711
鎌倉パスタ 京都桂店,京都府京都市西京区上桂東ノ口町103,075-382-4309
松屋 桂店,京都府京都市西京区樫原盆山16-1,075-382-1755
サイゼリヤ 御陵溝浦店,京都府京都市西京区御陵溝浦町27,075-382-5781
餃子の王将 洛西芸大前店,京都府京都市西京区大枝沓掛町13,075-333-2511
無添くら寿司 京都洛西店,京都府京都市西京区樫原盆山6-1,075-950-4610
えびすや,京都府京都市西京区 桂木ノ下町20-6,075-393-3391
四季の味 粲,京都府京都市西京区 上桂北ノ口町217,075-391-5581
いっさ,京都府京都市西京区 桂南巽町87-3,075-391-9017
安兵衛,京都府京都市西京区 大原野上里北ノ町1248,075-331-0882
さくら,京都府京都市西京区 上桂宮ノ後町70,075-381-1215
ぽんぽこ亭,京都府京都市西京区 下津林大般若町171,075-393-4332
是路,京都府京都市西京区 上桂宮ノ後町41,075-392-3744
居食処 濱夕,京都府京都市西京区 桂南巽町38-3,075-392-7808
みませ,京都府京都市西京区 桂南巽町123-2,075-392-4131
焼肉 おもに,京都府京都市西京区 桂野里町41-65,075-394-7711
福力食堂,京都府京都市西京区 桂乾町14-4,075-391-7391
京料理 松尾川よし,京都府京都市西京区 松室中溝町2,075-391-6755
しこしこうどん あわの,京都府京都市西京区 桂千代原町61-3,075-392-5009
柚之茶屋,京都府京都市西京区 松尾万石町53,075-381-4461
綾焼肉店,京都府京都市西京区 牛ケ瀬南ノ口町38,075-391-9944
スシロー 京都桂店,京都府京都市西京区 桂西滝川町18-1,075-382-0650
喫茶一休,京都府京都市西京区 桂乾町5-22,075-392-5945
ハヤシコーヒーショップ,京都府京都市西京区 桂木ノ下町16-3,075-391-9925
赤ちょうちん 桂店,京都府京都市西京区 桂稲荷山町90-1,075-393-3533
ひゃくばんち,京都府京都市西京区 川島調子町100,075-393-8655
カフェ ルージュ,京都府京都市西京区 桂稲荷山町90-6,075-393-1168
