会社名,住所,電話番号
ガシパ ファミリーレストラン＆BAR,大阪府大阪市阿倍野区長池町2-5,06-6657-7606
文福,大阪府大阪市阿倍野区 晴明通11-41,06-6661-5719
安来家,大阪府大阪市阿倍野区 晴明通12-25,06-6661-7383
サッポロラーメン ほんば 西田辺店,大阪府大阪市阿倍野区 長池町21-10,06-6628-5590
チ ケ,大阪府大阪市阿倍野区 長池町21-14,06-6628-1541
月ノ輪,大阪府大阪市阿倍野区 長池町1-1,06-6657-6746
韓国料理 食べ放題専門店 コリアン韓キッチンZEN 天王寺店,大阪府大阪市阿倍野区阿倍野筋2-4-48,06-6628-4155
ホルモン肉問屋 小川商店 天王寺店,大阪府大阪市阿倍野区阿倍野筋2-4-57,06-6626-2941
松屋 阿倍野店,大阪府大阪市阿倍野区阿倍野筋2-4-49,06-6626-5805
餃子の王将 西田辺店,大阪府大阪市阿倍野区阪南町5-17-2,06-6627-5122
餃子の王将 昭和町駅前店,大阪府大阪市阿倍野区阪南町1-47-3,06-6628-7030
一得 阿倍野店,大阪府大阪市阿倍野区阿倍野筋2-4-48,06-6626-1081
DINING けん吉,大阪府大阪市阿倍野区西田辺町2-8-9,06-6692-0520
やまちゃん本店,大阪府大阪市阿倍野区阿倍野筋1-2-34,06-6622-5307
やきにく 萬野 北畠,大阪府大阪市阿倍野区王子町4-3-16,06-6626-1110
BAR BREEZE,大阪府大阪市阿倍野区阿倍野筋2-1-20,06-6623-2288
ちょーず堂,大阪府大阪市阿倍野区阪南町2-2-2,06-6627-9666
創作中国料理 AKA,大阪府大阪市阿倍野区阪南町1-50-8,06-6623-8011
焼肉 華,大阪府大阪市阿倍野区阪南町1-46-25,06-6625-4129
鎌倉パスタ あべのHoop店,大阪府大阪市阿倍野区阿倍野筋1-2-3,06-6622-3090
和牛焼肉 うのう 西田辺店,大阪府大阪市阿倍野区西田辺町2-1-25,06-6609-1129
阿倍野庵,大阪府大阪市阿倍野区阿倍野筋1-1-43,06-6624-0181
ＢＥＬＬＩＮＯ,大阪府大阪市阿倍野区阿倍野筋2-1-35,06-6621-8127
松寿司,大阪府大阪市阿倍野区王子町3-13-6,06-6622-5723
ほっともっと 阿倍野阪南町店,大阪府大阪市阿倍野区阪南町2-23-28,06-4399-7715
大衆酒場 阿倍野タイガー,大阪府大阪市阿倍野区阿倍野筋1-2-16,06-6655-1701
あべの応援団 大分からあげと鉄板焼 勝男,大阪府大阪市阿倍野区阿倍野筋1-3-19,06-6624-5051
炭焼 ビギー,大阪府大阪市阿倍野区西田辺町1-3-1,06-4981-1697
ぽんぽこ亭（狸狸亭）西田辺店,大阪府大阪市阿倍野区西田辺町2-8-6,06-6608-5789
Mad Cat Hostel ＆ Bar,大阪府大阪市阿倍野区王子町1-11-24,080-9976-4079
B‐GARAGE 天王寺あべの店,大阪府大阪市阿倍野区阿倍野筋1-2-1,06-6626-0362
竹とんぼ,大阪府大阪市阿倍野区 昭和町5-12-23,06-6622-8602
白たぬき,大阪府大阪市阿倍野区 阿倍野筋3-10-1,06-6634-3378
巴うどん,大阪府大阪市阿倍野区 阿倍野筋1-3-5,06-6624-7900
餃子の店もも,大阪府大阪市阿倍野区 阪南町1-46-8,06-6622-8063
甘辛や,大阪府大阪市阿倍野区 美章園2-18-19,06-6719-7324
甘辛や,大阪府大阪市阿倍野区 美章園3-2-4,06-6629-1470
ほうぷう,大阪府大阪市阿倍野区 阪南町2-1-21,06-6624-3047
コーネル,大阪府大阪市阿倍野区 昭和町1-8-6,06-6629-4719
ドミナス,大阪府大阪市阿倍野区 阿倍野筋4-23-15,06-6653-8384
モンマルトル,大阪府大阪市阿倍野区 阪南町1-50-6,06-6624-0722
味苑,大阪府大阪市阿倍野区 阪南町5-17-6,06-6628-2872
炭火焼肉てんぐ,大阪府大阪市阿倍野区 阿倍野元町13-5,06-6622-3485
焼肉たつみ,大阪府大阪市阿倍野区 西田辺町2-8-9,06-6693-9616
食やますぞう,大阪府大阪市阿倍野区 阪南町5-23-11,06-6607-5515
十枡,大阪府大阪市阿倍野区 阿倍野筋2-4-48,06-6623-6678
ぱくぱく,大阪府大阪市阿倍野区 昭和町1-5-1,06-6624-8989
丸政,大阪府大阪市阿倍野区 阪南町5-6-3,06-6624-5607
和風料理山,大阪府大阪市阿倍野区 昭和町5-11-13,06-6624-5595
信州庵,大阪府大阪市阿倍野区 阿倍野筋1-5-31,06-6649-6656
銀翠小田半,大阪府大阪市阿倍野区 阪南町1-46-28,06-6624-4568
串の郷,大阪府大阪市阿倍野区 北畠1-23-2,06-6627-1147
串芳,大阪府大阪市阿倍野区 阪南町1-46-24,06-6621-8230
五源大喜,大阪府大阪市阿倍野区 昭和町1-9-21,06-6629-4576
